rank,title,console,publisher,duration,start_date,end_date
1,ポケットモンスター スカーレット・バイオレット,Switch,ポケモン,2022/12/19～2022/12/25,2022/12/19,2022/12/25
2,スプラトゥーン3,Switch,任天堂,2022/12/19～2022/12/25,2022/12/19,2022/12/25
3,Nintendo Switch Sports,Switch,任天堂,2022/12/19～2022/12/25,2022/12/19,2022/12/25
4,マリオカート8 デラックス,Switch,任天堂,2022/12/19～2022/12/25,2022/12/19,2022/12/25
5,Minecraft,Switch,日本マイクロソフト,2022/12/19～2022/12/25,2022/12/19,2022/12/25
6,マリオ＋ラビッツ ギャラクシーバトル,Switch,任天堂,2022/12/19～2022/12/25,2022/12/19,2022/12/25
7,ドラゴンクエスト トレジャーズ　蒼き瞳と大空の羅針盤,Switch,スクウェア・エニックス,2022/12/19～2022/12/25,2022/12/19,2022/12/25
8,大乱闘スマッシュブラザーズ SPECIAL,Switch,任天堂,2022/12/19～2022/12/25,2022/12/19,2022/12/25
9,マリオパーティ スーパースターズ,Switch,任天堂,2022/12/19～2022/12/25,2022/12/19,2022/12/25
10,桃太郎電鉄 〜昭和 平成 令和も定番！〜,Switch,KONAMI,2022/12/19～2022/12/25,2022/12/19,2022/12/25
11,太鼓の達人 ドンダフルフェスティバル,Switch,バンダイナムコエンターテインメント,2022/12/19～2022/12/25,2022/12/19,2022/12/25
12,星のカービィ　ディスカバリー,Switch,任天堂,2022/12/19～2022/12/25,2022/12/19,2022/12/25
13,Fit Boxing 北斗の拳 〜お前はもう痩せている〜,Switch,イマジニア,2022/12/19～2022/12/25,2022/12/19,2022/12/25
14,あつまれ どうぶつの森,Switch,任天堂,2022/12/19～2022/12/25,2022/12/19,2022/12/25
15,釣りスピリッツ 釣って遊べる水族館,Switch,バンダイナムコエンターテインメント,2022/12/19～2022/12/25,2022/12/19,2022/12/25
16,FIFA 23 Legacy Edition,Switch,エレクトロニック・アーツ,2022/12/19～2022/12/25,2022/12/19,2022/12/25
17,クライシス コア -ファイナルファンタジーVII- リユニオン,Switch,スクウェア・エニックス,2022/12/19～2022/12/25,2022/12/19,2022/12/25
18,グランツーリスモ7,PS5,ソニー・インタラクティブエンタテインメント,2022/12/19～2022/12/25,2022/12/19,2022/12/25
19,異種最強王図鑑 バトルコロシアム,Switch,日本コロムビア,2022/12/19～2022/12/25,2022/12/19,2022/12/25
20,クライシス コア -ファイナルファンタジーVII- リユニオン,PS4,スクウェア・エニックス,2022/12/19～2022/12/25,2022/12/19,2022/12/25
21,世界のアソビ大全51,Switch,任天堂,2022/12/19～2022/12/25,2022/12/19,2022/12/25
22,スーパーマリオ 3Dワールド ＋ フューリーワールド,Switch,任天堂,2022/12/19～2022/12/25,2022/12/19,2022/12/25
23,地球防衛軍4.1 for Nintendo Switch,Switch,ディースリー・パブリッシャー,2022/12/19～2022/12/25,2022/12/19,2022/12/25
24,クライシス コア -ファイナルファンタジーVII- リユニオン,PS5,スクウェア・エニックス,2022/12/19～2022/12/25,2022/12/19,2022/12/25
25,リングフィット アドベンチャー,Switch,任天堂,2022/12/19～2022/12/25,2022/12/19,2022/12/25
26,スーパーマリオメーカー2,Switch,任天堂,2022/12/19～2022/12/25,2022/12/19,2022/12/25
27,ONE PIECE 海賊無双4,Switch,バンダイナムコエンターテインメント,2022/12/19～2022/12/25,2022/12/19,2022/12/25
28,ゼルダの伝説 ブレス オブ ザ ワイルド,Switch,任天堂,2022/12/19～2022/12/25,2022/12/19,2022/12/25
29,ヒューマン フォール フラット,Switch,テヨンジャパン,2022/12/19～2022/12/25,2022/12/19,2022/12/25
30,ドラゴンクエストX　目覚めし五つの種族　オフライン,Switch,スクウェア・エニックス,2022/12/19～2022/12/25,2022/12/19,2022/12/25
